Word,alternate-spellings,transliteration,Gloss,Strongs,frequency
"Ἀαρών, ὁ",,Aarōn,Aaron,2,5
"Ἀβαδδών, ὁ",Ἀββαδών,Abaddōn,"Abaddon, transliteration of the Hebrew word ""doom""",3,1
ἀβαρής,,abarēs,not burdensome,4,1
"Ἀββᾶ, ὁ",,Abba,"father, transliteration of the Hebrew word ""father""",5,3
"Ἅβελ, ὁ",Ἄβελ,Abel,Abel,6,4
"Ἀβιά, ὁ",,Abia,Abijah,7,3
"Ἀβιαθάρ, ὁ",Ἀβιάθαρ,Abiathar,Abiathar,8,1
"Ἀβιληνή, -ῆς, ἡ",,Abilēnē,Abilene,9,1
"Ἀβιούδ, ὁ",,Abioud,Abiud,10,2
"Ἀβραάμ, ὁ",,Abraam,Abraham,11,73
"ἄβυσσος, -ου, ἡ",,abussos,"bottomless, incomprehensible depth",12,1
"Ἅγαβος, -ου, ὁ",Ἄγαβος,Agabos,Agabus,13,2
ἀγαθοεργέω,,agathoergeō,"do good, perform good deeds",14,1
ἀγαθοποιέω,,agathopoieō,"do good/right, do what is good/right",15,11
"ἀγαθοποιΐα, -ας, ἡ",,agathopoiia,doing what is good/right,16,1
"ἀγαθοποιός, -όν",,agathopoios,one who does good/right,17,1
"ἀγαθός, -ή, -όν",,agathos,good,18,102
"ἀγαθωσύνη, -ης, ἡ",,agathōsunē,goodness,19,4
"ἀγαλλίασις, -εως, ἡ",,agalliasis,"delight, great joy, gladness",20,5
ἀγαλλιάω,,agalliaō,"rejoice, am full of joy, exult",21,11
"ἄγαμος, -ου, ἡ",,agamos,unmarried,22,4
ἀγανακτέω,,aganakteō,"be indignant, am angry, am incensed",23,7
"ἀγανάκτησις, -εως, ἡ",,aganaktēsis,indignation,24,1
ἀγαπάω,,agapaō,love,25,142
"ἀγάπη, -ης, ἡ",,agapē,love,26,116
"ἀγαπητός, -ή, -όν",,agapētos,"beloved, loved",27,62
"Ἁγάρ, ἡ","Ἁγάρ, Ἄγαρ",Agar,Hagar,28,2
ἀγγαρεύω,,aggareuō,"compel, press into service, impress, send",29,3
"ἀγγεῖον, -ου, τό",,aggeion,"vessel, flask, container, can",30,1
"ἀγγελία, -ας, ἡ",,aggelia,message,31,2
ἀγγέλλω,,aggellō,"announce, report",,1
"ἄγγελος, -ου, ὁ",,aggelos,"angel, messenger",32,176
"ἄγγος, -ους, τό",,aggos,"vessel, container",,1
"ἀγέλη, -ης, ἡ",,agelē,"herd, flock",34,8
"ἀγενεαλόγητος, -ον",,agenealogētos,"without genealogy, of unrecorded genealogy",35,1
ἀγενής,,agenēs,"base, low, insignificant, without family, ignoble",36,1
ἁγιάζω,,agiazō,"make holy, consecrate, sanctify",37,29
"ἁγιασμός, -οῦ, ὁ",,agiasmos,"consecration, holiness, sanctification",38,10
"ἅγιος, -α, -ον",,agios,"holy, set apart, sacred",40,240
"ἁγιότης, -ητος, ἡ",,agiotēs,holiness,41,1
"ἁγιωσύνη, -ης, ἡ",,agiōsunē,"holiness, holy or sanctified state",42,3
"ἀγκάλη, -ης, ἡ",,agkalē,arm,43,1
"ἄγκιστρον, -ου, τό",,agkistron,fish hook,44,1
"ἄγκυρα, -ας, ἡ",,agkura,anchor,45,4
"ἄγναφος, -ον",,agnaphos,"new, unshrunken, new, uncarded",46,2
"ἁγνεία, -ας, ἡ",,agneia,"purity, chastity",47,2
ἁγνίζω,,agnizō,"purify, cleanse",48,7
"ἁγνισμός, -οῦ, ὁ",,agnismos,purification,49,1
ἀγνοέω,,agnoeō,"not know, be unaware, do not know, am ignorant of",50,22
"ἀγνόημα, -τος, τό",,agnoēma,"sin of ignorance, offence committed through ignorance",51,1
"ἄγνοια, -ας, ἡ",,agnoia,ignorance,52,4
"ἁγνός, -ή, -όν",,agnos,"pure, holy, chaste, innocent",53,8
"ἁγνότης, -ητος, ἡ",,agnotēs,"purity, chastity, sincerity",54,2
ἁγνῶς,,agnōs,"purely, sincerely",55,1
"ἀγνωσία, -ας, ἡ",,agnōsia,ignorance,56,2
"ἄγνωστος, -ον",,agnōstos,unknown,57,1
"ἀγορά, -ᾶς, ἡ",,agora,"marketplace, place of assembly",58,11
ἀγοράζω,,agorazō,buy,59,30
"ἀγοραῖος, -ου, ὁ",,agoraios,"marketplace, lounger in the marketplace",60,2
"ἄγρα, -ας, ἡ",,agra,"catch, booty",61,2
"ἀγράμματος, -ον",,agrammatos,"uneducated, illiterate",62,1
ἀγραυλέω,,agrauleō,"live outdoors, spend the night in the open",63,1
ἀγρεύω,,agreuō,"trap, catch, capture",64,1
"ἀγριέλαιος, -ου, ἡ",,agrielaios,"wild olive tree, (ἀγρι-έλαιος)",65,2
"ἄγριος, -α, -ον",,agrios,"wild, savage, fierce, uncultivated",66,3
"Ἀγρίππας, -α, ὁ",,Agrippas,Agrippa,67,11
ἀγροίκοις,,agroikois,"farm house, of/in the countryside",,
"ἀγρός, -ου, ὁ",,agros,"field, farm, countryside",68,35
ἀγρυπνέω,,agrupneō,"sleepless, watchful, alert (metaphorical)",69,4
"ἀγρυπνία, -ας, ἡ",,agrupnia,"sleeplessness, watching",70,2
ἄγω,,agō,"lead, bring","71, 33",76
"ἀγωγή, -ῆς, ἡ",,agōgē,"way of life, conduct",72,1
"ἀγών, -ῶνος, ὁ",,agōn,"struggle, fight, contest",73,6
